Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1X9ScaL2O9nfMJSOJV2Oqp,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,-2,"Oh, dear.  Precisely 3:21 too long.",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:3HIoSF8128M5EbJnJTkEQB,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,-1,Why?  Why did they make this song?  Why would anyone want to listen to it?  A pointless song for a pointless round.,bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:3nsrj47JSzwO2R0xhfkCfm,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,1,"I suppose it's not completely horrible, within the slim context of music that 14 year old girls might like.  Is Jenny on holiday with ""Emily in Paris"", if you know what I'm saying?",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:3y1e5Gzm0BiUxBw4h43vg9,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,1,"Aww, too bad we already had the animal round.  I can kinda see what you mean about his voice, but this is supposed to convince us of his songwriting talent?",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:04KHyqdGs5sVEWX6UnukF2,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,3,"I liked aspects of this three-songs-in-one, but it doesn't quite add up for me.  And we had Caroline Polachek recently.  One extra theme point simply because blood orange could conceivably be used in perfumes?",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:0JuLTNOo2dFUkQ3iK8LQ19,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,2,"Some good lyrics, then a lot of repetition of lyrics, which is not great.",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:0QeKRNG7FOK7Zu5frFymL0,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,2,"I wanted to give some love to these Detroit homies, but couldn't get over the blatant unremarkableness of the smooth funk.  You were headed for a downvote.
Luckily enough for you, however, the line ""The air was filled with suspicion"" could be said to refer to an actual product, Sardeau Suspicion Parfum:
https://www.collectorsweekly.com/stories/183648-suspicion-perfume
Therefore, IMHO, your song hits closest to the theme's bullseye, so I gave you 3 extra points.",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:0xui9XlNaWU6ePDkrcnwuQ,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,-1,"Hard dance music with window-shaking bass is so not my thing.  But the song does contain orange and banana, so instead of a -2, you get a -1.",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:4AiJdDQPCdAdZiecHbuFc2,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,1,"Don't really care for his voice or most of the music, but the chorus squeaks it into a positive score.  His techno-optimism will surely fade once AI crashes our economies.",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:1bIreFfHgVhfBp43up9HN0,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,2,"You should get some kind of award for your reasoning, if only the theme turned out to be ticking as many of the previous rounds' boxes as possible.  
Was not familiar with the original.  Dolores is a hard act to follow, so distinctive is her voice.  A capable cover (but not ""better than the original""-- whoops, ya missed one).",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:1lfgMTtRomZmt8LKG1uFvg,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,-1,"Heard this enough, can't bear to listen to it again.",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:6xVXJynT4L6aPmbI6Rzw5M,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,5,Nice and bouncy.,bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:6UOgyWbhnGvDpgTtfU2XAk,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,5,I am liking them fat-ass gee-tars.  Reminiscent of Red House Painters and a slowed-down version of mediocre 80's rockers like Billy Squier or something (but in a good way).,bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:6L4IiurAuzCHA76EVmb2em,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,3,"The verses were not really my thing, but I was able to enjoy the 80's-style chorus a bit.  Two extra theme points for mentioning a ""potion""!",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:5W95hGN0NsU5cTUOF1C1UE,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,6,"Love the trashed-out yet still-beautiful mood.  I was intrigued when I read a review of this album when it came out, and I think I listened to one song, but didn't follow up on it any further.",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:4UAA90EcCF2AdBcvA9z0l9,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,4,Quality punky-pop.,bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:4hiLY16bYd5Y4wnn0JeoBv,de4eea8c425949deaa2c55f0c21ccd7d,2026-01-30T05:30:44Z,0,"Oops, I misheard ""oat"" for ""oak""-- there are no trees.
But ""Blended flower"" and ""roses""-- those count toward the theme as common perfume ingredients, right?",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:0QeKRNG7FOK7Zu5frFymL0,d0b05394a4f7482b95d5e0aeecbaa33a,2026-01-30T18:59:48Z,-1,"Spy in the House is for the James Bond marathon-lover who feels stuck in a sexless marriage, resulting in elaborate daytime fantasies about the neighbor next door, who only kind of resembles Pussy Galore. Smells of Vesper martini, musk, amber, cigars, deception, cold showers, and blow-up dolls. 

The more I listen to this, the catchier it gets, but I also feel like I’ve been smacked a little too hard in the face with the 80s. Had to have been there. ",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:6xVXJynT4L6aPmbI6Rzw5M,d0b05394a4f7482b95d5e0aeecbaa33a,2026-01-30T18:59:48Z,-1,"mi buena suerte smells like fizzy cola, strawberry lipgloss and Cholula hot sauce. You smelled it on a girl walking by at the mall and you wished you stopped to get to know/smell her better because she could have been “the one” that changed your life. 

My Spanish is crap and I struggled to make out/find the lyrics, darn.",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:6UOgyWbhnGvDpgTtfU2XAk,d0b05394a4f7482b95d5e0aeecbaa33a,2026-01-30T18:59:48Z,3,"Dulling the Horns smells like desert mountain air, cows, moonshine, sage (advice), and heartbreak. The signature scent of those who live alone under a wide open sky because they’ve just seen too much. ",bb008ad9a1fe4c448d2ad52daa6f84c7
spotify:track:6L4IiurAuzCHA76EVmb2em,d0b05394a4f7482b95d5e0aeecbaa33a,2026-01-30T18:59:48Z,-1,"The Signals perfume and cologne set is marketed using a video ad inspired by “The Terminator” except it’s a sexy woman coming from the future to save your ass, asserting that you must “come with me if you want to live!” before dragging you to the dance floor. She smells like 1985’s Poison by Christian Dior, and warm poptarts.

I think I know who submitted this and I’ve been contemplating why I’ve downvoted you often, and it’s because I think you are at the cutting edge of where my music taste needs to grow, this is a compliment. ",bb008ad9a1fe4c448d2ad52daa6f84c7
